id;name;code;level;parent_id
3010265;شهر آبدان;3010265;5;3002828
3010229;شهر ایوان;3010229;5;3001161
3010796;شهر گلباف;3010796;5;3001654
3010959;شهر آمل;3010959;5;3001817
3010390;شهر صالح آباد;3010390;5;3001284
3010290;شهر رودهن;3010290;5;3001207
3010993;شهر شیرگاه;3010993;5;3001847
3011092;شهر زنگنه;3011092;5;3001942
3010322;شهر فرادنبه;3010322;5;3001231
3023066;شهر پردنجان;3023066;5;3001238
3011104;شهر مهردشت;3011104;5;3001953
3010571;شهر گلمورتی;3010571;5;3001449
3022972;شهر خنافره;3022972;5;3001391
3010853;شهر دیشموک;3010853;5;3001713
3010800;شهر کهنوج;3010800;5;3001656
3010913;شهر شفت;3010913;5;3001772
3010876;شهر گنبد کاووس;3010876;5;3001737
3010117;شهر لاهرود;3010117;5;3001103
3023026;شهر چلیچه;3023026;5;3001239
3023044;شهر جدید پرند;3023044;5;3001208
3022833;شهر هنزا;3022833;5;3001666
3011078;شهر صالح آباد;3011078;5;3001930
3011081;شهر سرکان;3011081;5;3001932
3011102;شهر فامنین;3011102;5;3001951
3011090;شهر ازندریان;3011090;5;3001941
3011100;شهر همدان;3011100;5;3001948
3010321;شهر سفید دشت;3010321;5;3001231
3010327;شهر طاقانک;3010327;5;3001234
3010337;شهر فارسان;3010337;5;3001238
3011060;شهر سرگز;3011060;5;3001908
3022990;شهر تیرور;3022990;5;3001920
